beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.000288136,0.066830598,0.263537663,0.007594793,0.011809186,0.013612466,0.015816374,0.020776829,0.021284553,0.019102355,0.011807743
0.000466474,0.07134348,0.225991708,0.006942944,0.009616525,0.011119624,0.015119628,0.021266239,0.02169988,0.014345755,0.00464837
0.001543999,0.06969815,0.310687737,0.004523387,0.011288597,0.005519362,0.011104318,0.026060947,0.013869866,0.012113116,0.005704431
0.002588805,0.064934656,0.55176829,0.000219398,0.015655818,0.00071997,0.006108804,0.02052619,0.02253375,0.015045317,0.010027309
0.001593644,0.063193853,0.835632418,0.000797312,0.00954342,0.002097071,0.003615772,0.017755417,0.023823695,0.009770664,0.006974581
0.005876118,0.058788522,0.642099637,0.001842172,0.009991513,0.004207731,0.00613164,0.020101755,0.022623226,0.01446419,0.009185689
0.000108888,0.066367139,0.432336582,0.003844309,0.009108343,0.011176145,0.010670076,0.02391706,0.026989369,0.015611608,0.009414951
0.000642255,0.067564972,0.400683607,0.004222605,0.006162626,0.01835426,0.006276056,0.025873161,0.018186576,0.00892448,0.008833275
0.005104625,0.058670606,0.022324857,0.007781196,0.01439134,0.020413619,0.012546507,0.030282324,0.020574861,0.020973954,0.007575001
0.002180368,0.063651134,0.30711891,0.009259537,0.011553345,0.005832371,0.016270413,0.022734999,0.020428189,0.020928758,0.036091246
0.001544698,0.066955873,0.185849195,0.004546706,0.017816502,0.008267102,0.01471806,0.025694252,0.014031949,0.007295329,0.005893301
0.001016261,0.066483778,0.2260713,0.005803845,0.016970806,0.010186404,0.011500134,0.019202192,0.025256882,0.012885985,0.006158473
0.00285617,0.060675026,0.425879985,0.002765421,0.012448434,0.011623751,0.009577611,0.02363095,0.019963604,0.014335776,0.008154195
0.000854079,0.068596721,0.661491173,0.000151202,0.00550674,0.011899939,0.009992946,0.019614569,0.012123141,0.009487738,0.007175186
0.000179056,0.065698696,0.329991895,0.006085267,0.009729128,0.011935798,0.012747281,0.027333606,0.027411766,0.015674875,0.01700403
0.000790461,0.065876184,0.311744249,0.00249046,0.0151386,0.012062455,0.01350775,0.019425214,0.027105108,0.015117418,0.008302688
0.000519153,0.064019082,0.743469822,0.001983517,0.00781723,0.007309675,0.010298066,0.016854604,0.017343517,0.01412258,0.008569462
0.003818511,0.058709235,0.589177179,0.0015802,0.009150085,0.008954138,0.014937709,0.017572756,0.02175153,0.014082731,0.00696306
0.004951005,0.059655882,0.369551597,0.006442066,0.007755275,0.014850952,0.018409578,0.017144203,0.01970647,0.014372064,0.009667665
0.002048904,0.061505949,0.372051328,0.007283511,0.008634405,0.015881938,0.01551711,0.023269211,0.01865133,0.016063909,0.010193861
0.003925355,0.062399541,0.199396254,0.010528038,0.007895095,0.019271008,0.014996912,0.020764603,0.019601623,0.023617192,0.008941048
0.000303417,0.064786372,0.862499137,0.000924243,0.003072322,0.010888404,0.003183535,0.01713912,0.030246809,0.020270591,0.019353794
0.002982682,0.065383041,0.168521625,0.005101209,0.01366578,0.011373785,0.015029135,0.026317295,0.016947587,0.015306594,0.006552668
0.013258694,0.051193996,0.146431126,0.00218454,0.014030586,0.010900845,0.01969421,0.020713702,0.023143385,0.018553369,0.007398452
0.000346926,0.068125912,0.190888031,0.009348505,0.012223747,0.010552618,0.01414043,0.024488115,0.016831712,0.015318803,0.005093723
0.003228635,0.064308219,0.127436778,0.005915887,0.015361031,0.006904426,0.018652597,0.025396743,0.022966218,0.015886254,0.010919355
0.003905822,0.062927506,0.073921885,0.00967605,0.014952236,0.00512927,0.01874228,0.022602969,0.027241971,0.017984122,0.007245146
0.000186494,0.065491359,0.401510328,0.002934419,0.015159626,0.006978914,0.012340851,0.022010095,0.021212435,0.016631062,0.008779626
0.004055293,0.061580892,0.065734562,0.005015498,0.016471711,0.014130067,0.018219968,0.024500344,0.018997454,0.018705592,0.015192065
0.006233616,0.05677743,0.511561455,0.001917043,0.014551307,0.006211124,0.006155465,0.023534281,0.021816191,0.015229119,0.006531913
0.00700151,0.060574586,0.607108689,0.000223792,0.010093453,0.006536586,0.005205124,0.022869484,0.009470359,0.006381621,0.004477128
0.002525346,0.061820205,0.64233432,0.00045044,0.009522117,0.010786379,0.008194483,0.025605282,0.0140972,0.007773749,0.005955061
0.00468529,0.063112541,0.691851531,0.000284887,0.007646869,0.005234975,0.011253374,0.012477957,0.017697505,0.011562997,0.007166642
0.003263925,0.063279209,0.413431642,0.000280812,0.010104891,0.018007363,0.012473438,0.02446634,0.01211549,0.015174086,0.009730409
0.006965018,0.057910663,0.305763663,0.007793226,0.012276918,0.015016798,0.017062563,0.018723005,0.019498638,0.015285448,0.004445236
0.001104493,0.0669475,0.571250453,0.001458767,0.009333163,0.010556581,0.009890572,0.015798835,0.025622354,0.012591056,0.005747527
0.000671972,0.068753799,0.338446694,0.003204374,0.00885451,0.012979703,0.012484519,0.018694402,0.029376864,0.013636244,0.01361519
0.001930435,0.064097814,0.356488982,0.002081893,0.015364719,0.011026979,0.015325733,0.016872275,0.026918779,0.013405478,0.007561591
0.001609917,0.065410843,0.202872794,0.008407402,0.008969065,0.015110368,0.019178053,0.021719191,0.025963624,0.013432683,0.011694132
0.000373205,0.066362918,0.686818762,0.001441379,0.003645969,0.015792156,0.010941762,0.015365034,0.023627681,0.010054635,0.01356407
0.000534291,0.069867447,0.146180399,0.006644801,0.013169163,0.008562747,0.016878889,0.020615193,0.021936634,0.017763719,0.0053092
0.002380343,0.065789097,0.130950332,0.002835472,0.01521386,0.010547151,0.021285898,0.020374298,0.027667869,0.024614257,0.015289417
0.004751484,0.059818586,0.309616707,0.005060528,0.009007025,0.017713567,0.01298938,0.022458117,0.029683196,0.013655357,0.008846331
0.000455387,0.070720061,0.272592962,0.002331449,0.012414072,0.011403392,0.015432547,0.018077522,0.026522936,0.015867433,0.008963388
0.002283486,0.065710116,0.151378382,0.006722558,0.011630299,0.014877064,0.017324883,0.022089256,0.028305296,0.018215534,0.009369368
0.001276796,0.068024963,0.547548827,0.00132433,0.007133185,0.016155927,0.008888567,0.018849622,0.013785216,0.012277669,0.005986794
0.003739442,0.060324484,0.58394821,0.002272515,0.010547177,0.010104291,0.007531194,0.020556175,0.027910454,0.013848728,0.007316491
0.002563775,0.06332028,0.127184352,0.00531811,0.016053864,0.011227985,0.015777096,0.027197695,0.016598571,0.007510445,0.011579896
0.008310449,0.055596168,0.271383919,0.006540659,0.01134682,0.010638574,0.012358572,0.02734146,0.016019343,0.02321003,0.038732582
0.001536322,0.061056198,0.118356471,0.009349072,0.017718905,0.010530154,0.012812148,0.027279035,0.034676896,0.013389402,0.009380868
0.000996232,0.068007826,0.150281118,0.007136436,0.012616514,0.013339434,0.014167179,0.020568011,0.030992587,0.012028243,0.0123364
0.00040058,0.066657805,0.445615144,0.000656329,0.011947259,0.013252788,0.013286124,0.020041575,0.021979227,0.015966234,0.007962325
0.006577115,0.058783324,0.201421066,0.002799517,0.014153476,0.012365029,0.016210982,0.023690404,0.028432143,0.013762893,0.007978296
0.001707086,0.068297879,0.390837923,0.003111386,0.009417282,0.009618815,0.01159803,0.020359264,0.023977187,0.012484794,0.00595747
0.003555651,0.062591805,0.1695271,0.005396106,0.014142269,0.014262998,0.017963359,0.021023854,0.034258027,0.020542266,0.010898736
0.000133904,0.073104558,0.147725521,0.009332581,0.007496387,0.017645036,0.009733334,0.028054267,0.014401807,0.01391369,0.006351212
0.000265467,0.065924587,0.17404467,0.004610945,0.012331997,0.015710076,0.016936107,0.026533798,0.02743094,0.017043006,0.016091424
6.76E-05,0.069892063,0.305777045,0.006751277,0.008986909,0.012032142,0.013792986,0.020068356,0.025702591,0.012826637,0.005854356
0.000200042,0.067422521,0.287859087,0.002903929,0.017478791,0.005699746,0.012177616,0.022926807,0.021653459,0.018266697,0.0088287
0.007520203,0.057502365,0.260678802,0.002741685,0.013843835,0.008734806,0.014549474,0.021343263,0.020744895,0.022053581,0.014423759
0.000733027,0.066998517,0.021243224,0.010889188,0.014532036,0.010644357,0.018711704,0.02887105,0.019423905,0.017626686,0.010885076
0.003646892,0.062095769,0.23039347,0.008900806,0.014988844,0.008299285,0.01473648,0.025257019,0.017514951,0.019795907,0.005742877
6.60E-05,0.066483065,0.092165709,0.002655975,0.019630359,0.013882461,0.018040995,0.026187291,0.021211896,0.008708977,0.010321609
