beta1,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.042686177,0.348715778,0.004159156,0.011004939,0.009160749,0.017897674,0.022172884,0.014631171,0.012369236,0.006611005
0.042487445,0.494616762,0.003018776,0.009873608,0.012494323,0.005041793,0.022813925,0.019267638,0.014597381,0.006763987
0.042565269,0.045896286,0.017076112,0.007558269,0.019519106,0.018166141,0.025833597,0.017704516,0.018992814,0.011099727
0.042498069,0.226830855,0.012831933,0.009278127,0.014705399,0.015962381,0.02000264,0.012742907,0.015529368,0.002619048
0.043196776,0.19711627,0.010977232,0.010517153,0.014264198,0.01619227,0.021862653,0.025408525,0.01535744,0.00553823
0.042904381,0.26199701,0.013913744,0.004988338,0.014736992,0.016640419,0.018682818,0.018785565,0.013307982,0.009262775
0.042903539,0.076949584,0.015920595,0.008524878,0.007752777,0.018477072,0.01921034,0.019511706,0.014486158,0.005160089
0.042840039,0.426608341,0.008486593,0.010410069,0.011987675,0.008323229,0.021507883,0.01942463,0.01704609,0.005988824
0.042829587,0.242016464,0.009282402,0.008183452,0.01430438,0.014786867,0.022525479,0.019308429,0.016221566,0.007069293
0.042738267,0.197707617,0.01106117,0.010375576,0.009226994,0.013564663,0.027027978,0.019050916,0.014088864,0.009406732
0.043216924,0.440683586,0.00751919,0.006240552,0.009147089,0.014831544,0.018832284,0.018115803,0.01420355,0.006093993
0.042980224,0.158809407,0.012859004,0.006771291,0.019270437,0.014516933,0.024549983,0.01967681,0.01680005,0.004947889
0.042967164,0.157067193,0.013503651,0.01140804,0.006319075,0.017097539,0.022714327,0.016678923,0.01536953,0.004526748
0.043227665,0.202833143,0.009525828,0.012598607,0.003198177,0.016770272,0.023536841,0.013302644,0.016702401,0.006760185
0.043160418,0.387271127,0.007989982,0.010089434,0.01190835,0.014497846,0.017188501,0.024854308,0.013121077,0.009322051
0.043314647,0.264852792,0.010742794,0.011129343,0.008557071,0.019167394,0.023487598,0.017392864,0.015487455,0.005502946
0.043581055,0.264386992,0.007297779,0.012983385,0.008440413,0.01538792,0.021832129,0.020377273,0.01433969,0.007123013
0.043335176,0.603212139,0.005041422,0.006595555,0.007248853,0.008528127,0.018580211,0.017412717,0.006788954,0.005139437
0.043150316,0.711937491,0.003786962,0.002096704,0.011743549,0.006985007,0.020097093,0.010877336,0.008534744,0.008452636
0.042548884,0.766186259,0.000759664,0.010061214,0.009511496,0.005114322,0.019665793,0.017304771,0.004556535,0.016689634
0.042992586,0.265675447,0.012719569,0.005969283,0.014475012,0.015487607,0.017988269,0.030090119,0.00528123,0.013497271
0.042882029,0.365200168,0.007959362,0.008462764,0.008496143,0.01410958,0.022517195,0.021190838,0.002023483,0.014287033
0.042734552,0.145517804,0.008832832,0.013587663,0.004555809,0.019974662,0.020921761,0.018439559,0.014030094,0.009655023
0.042517997,0.398844671,0.005501247,0.008462517,0.016996356,0.009800079,0.03157794,0.006569066,0.00644797,0.013717885
0.042710761,0.494887436,0.009478259,0.00493373,0.009797548,0.017203351,0.016195354,0.02033329,0.012756093,0.006970903
0.043100361,0.101931063,0.008017025,0.010327228,0.014845845,0.019692618,0.022274878,0.018072168,0.020771821,0.018137315
0.04342576,0.042109025,0.011069609,0.011529706,0.010833678,0.014309974,0.024752165,0.01731913,0.015427321,0.004183705
0.043362831,0.445120526,0.004464641,0.004395785,0.009870911,0.015039989,0.012153887,0.030860631,0.014442387,0.01092059
0.042854365,0.093013116,0.014729306,0.00856832,0.0110645,0.015050611,0.021044677,0.028258926,0.016414751,0.008684055
0.043022803,0.048094641,0.015698914,0.008337998,0.009741054,0.015602347,0.021199311,0.025071336,0.012541426,0.005218216
0.042920512,0.112854509,0.007201259,0.01727446,0.006799084,0.01395157,0.022883663,0.024079125,0.01524599,0.006947743
0.042652736,0.266513821,0.007092082,0.011545895,0.008681104,0.013156812,0.021176598,0.020928039,0.007980485,0.011101289
0.042629886,0.306312803,0.016011381,0.006564016,0.007652038,0.011338676,0.025652857,0.015126971,0.017099454,0.010838501
0.042998597,0.325893105,0.007597541,0.007899714,0.018758194,0.019538717,0.019749765,0.014903367,0.014689074,0.005668097
0.042842423,0.133787334,0.01153392,0.008179079,0.013198896,0.017292817,0.029001523,0.013747693,0.012849412,0.00613876
0.042970849,0.115077373,0.011560896,0.010542043,0.013686577,0.020925066,0.023607235,0.020734186,0.014355985,0.006066795
0.04319886,0.070616715,0.014867542,0.011641325,0.009733475,0.019190635,0.026764763,0.021278655,0.024752002,0.013770651
0.042940967,0.206223824,0.007683502,0.014313675,0.007811067,0.01465991,0.023922588,0.02190248,0.012816036,0.006860288
0.043046115,0.234646417,0.009263515,0.008902248,0.007950867,0.012646376,0.024664992,0.013977347,0.017287046,0.007041223
0.043171671,0.038550708,0.009373674,0.015200984,0.008041209,0.014063279,0.025224022,0.023471368,0.018897333,0.004823888
0.043223476,0.3638973,0.009058589,0.006934198,0.009709638,0.015190727,0.021453798,0.023295336,0.010220384,0.009389987
0.043379382,0.399316873,0.005955978,0.008393005,0.008509471,0.010641893,0.019708051,0.015290718,0.012096792,0.011552773
0.043126517,0.471598561,0.000408853,0.011529766,0.010670702,0.011354722,0.020542584,0.020408692,0.013854965,0.007984807
0.043155757,0.55552142,0.003820726,0.009671856,0.005024972,0.013569861,0.015507525,0.019645131,0.006365063,0.005864072
0.04308814,0.553151434,0.009913896,0.00493235,0.008825086,0.012072936,0.019291387,0.015980227,0.010333592,0.005751884
0.043255334,0.083734148,0.007748033,0.017698737,0.004435038,0.017884495,0.021072153,0.022518931,0.013671488,0.018074595
0.04355234,0.416627462,0.009746515,0.006676435,0.008585923,0.014945871,0.020723025,0.020386995,0.012224241,0.006050045
0.042777411,0.738031844,0.004699719,0.004464744,0.008609541,0.005857455,0.017125559,0.022214213,0.015113513,0.008962483
